"CPC - ZM6 CE0327";"por hora"
Fecha;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)"
"2024-07-08 00:00:00";172;0;84.037;0;27.398;0;749.638
"2024-07-08 01:00:00";86;0;85;0;27.072;0;749.446
"2024-07-08 02:00:00";86;0;84.444;0;26.889;0;749.686
"2024-07-08 03:00:00";86;0;85.611;0;26.943;0;749.936
"2024-07-08 04:00:00";19.558;0;87;0;26.582;0;749.927
"2024-07-08 05:00:00";357.204;0;87;0;25.903;0;750.238
"2024-07-08 06:00:00";360;0;87;15.537;25.679;0;750.318
"2024-07-08 07:00:00";360;0;86.222;118.537;26.038;0;750.936
"2024-07-08 08:00:00";360;0;86.666;193;27.034;0;751.331
"2024-07-08 09:00:00";360;0;84.777;281.666;28.267;0;751.247
"2024-07-08 10:00:00";360;0;82.481;471.962;29.358;0;750.881
"2024-07-08 11:00:00";63;0;76.018;669.425;31.531;0;750.733
"2024-07-08 12:00:00";144;0;73.444;586.5;32.229;0;750.291
"2024-07-08 13:00:00";144.121;0;72.222;808.685;32.987;0;749.497
"2024-07-08 14:00:00";220;0;72.222;757.444;33.127;0;748.836
"2024-07-08 15:00:00";181;0;69.037;607.407;33.487;0;748.184
"2024-07-08 16:00:00";181;0;67.185;411.611;33.972;0;747.914
"2024-07-08 17:00:00";222.313;0;70.518;192.296;33.393;0;747.944
"2024-07-08 18:00:00";222.009;0;76.185;15.259;32.317;0;748.309
"2024-07-08 19:00:00";222.009;0;80.444;0;30.442;0;748.603
"2024-07-08 20:00:00";159;0;82.592;0;28.34;0;749.118
"2024-07-08 21:00:00";229;0;79.759;0;28.166;0;749.387
"2024-07-08 22:00:00";229;0;78;0;28.163;0;749.453
"2024-07-08 23:00:00";229;0;80;0;27.234;0;749.646
"2024-07-09 00:00:00";186.871;0;81.814;0;27.07;0;749.396
"2024-07-09 01:00:00";155;0;83.666;0;26.816;0;749.169
"2024-07-09 02:00:00";155;0;84.759;0;26.803;0;748.693
"2024-07-09 03:00:00";155;0;86.537;0;26.535;0;748.291
"2024-07-09 04:00:00";155;0;87;0;26.043;0;748.42
"2024-07-09 05:00:00";155;0;87;0.37;25.765;0;748.561
"2024-07-09 06:00:00";155;0;86.333;66.24;25.56;0;749.08
"2024-07-09 07:00:00";155.222;0;85.703;276.685;27.239;0;749.555
"2024-07-09 08:00:00";155.919;0;76.703;462.518;30.099;0;750.035
"2024-07-09 09:00:00";155.141;0;69.185;662.296;32.377;0;749.866
"2024-07-09 10:00:00";155.231;0;62.037;778.685;34.076;0;749.476
"2024-07-09 11:00:00";22.363;0;55.962;796;35.672;0;749.214
"2024-07-09 12:00:00";326;0;52.444;891.407;36.697;0;748.723
"2024-07-09 13:00:00";326;0;46.796;876.24;37.576;0;748.123
"2024-07-09 14:00:00";65.502;0;49.537;765.999;37.838;0;747.537
"2024-07-09 15:00:00";194.625;0;50.129;574.722;37.011;0;746.974
"2024-07-09 16:00:00";176;0;55.833;316.388;36.471;0;746.802
"2024-07-09 17:00:00";184;0;66.907;160.092;34.65;0;746.691
"2024-07-09 18:00:00";17;0;75.055;14.074;32.862;0;747.185
"2024-07-09 19:00:00";17;0;79.703;0;31.183;0;747.745
"2024-07-09 20:00:00";272;0;84.333;0;29.704;0;748.423
"2024-07-09 21:00:00";272;0;84.777;0;28.875;0;748.852
"2024-07-09 22:00:00";267;0;78.425;0;29.064;0;749.223
"2024-07-09 23:00:00";90;0;81.925;0;28.136;0;749.231
"2024-07-10 00:00:00";86.878;0;85.185;0;27.595;1.4;749.708
"2024-07-10 01:00:00";294;0;87;0;26.257;1.6;748.96
"2024-07-10 02:00:00";336;0;86.611;0;25.886;0.2;748.682
"2024-07-10 03:00:00";329;0;86;0;25.625;0;748.324
"2024-07-10 04:00:00";16;0;86;0;25.449;0;748.532
"2024-07-10 05:00:00";16;0;86;0;25.595;0;748.824
"2024-07-10 06:00:00";328;0;86;44.129;25.278;0;749.305
"2024-07-10 07:00:00";328;0;85.796;160.518;25.382;0;750
"2024-07-10 08:00:00";358.412;0;86.185;360.37;26.426;0;749.962
"2024-07-10 09:00:00";360;0;81.166;650.518;29.144;0;749.919
"2024-07-10 10:00:00";342.834;0;73.24;807.87;31.526;0;749.716
"2024-07-10 11:00:00";199.212;0;68.592;885.611;32.939;0;749.16
"2024-07-10 12:00:00";45;0;64.296;912.425;34.193;0;748.443
"2024-07-10 13:00:00";114.482;0;59.87;833.444;35.402;0;747.625
"2024-07-10 14:00:00";86.179;0;59.537;742.481;35.793;0;746.885
"2024-07-10 15:00:00";72;0;57.648;548.222;36.479;0;746.479
"2024-07-10 16:00:00";86;0;57.722;376.74;35.899;0;746.515
"2024-07-10 17:00:00";275;0;58.203;133.111;34.749;0;746.751
"2024-07-10 18:00:00";5;0;63.277;9.685;33.007;0;746.915
"2024-07-10 19:00:00";281;0;71.685;0;31.016;0;747.411
"2024-07-10 20:00:00";281;0;80.296;0;29.814;0;748.236
"2024-07-10 21:00:00";281;0;82.37;0;28.978;0;748.772
"2024-07-10 22:00:00";281;0;84.277;0;28.513;0;749.233
"2024-07-10 23:00:00";180;0;84.833;0;27.632;0;748.974
"2024-07-11 00:00:00";270;0;83.333;0;27.137;0;748.874
"2024-07-11 01:00:00";270;0;83.87;0;26.852;0;748.549
"2024-07-11 02:00:00";194;0;84.018;0;26.614;0;748.181
"2024-07-11 03:00:00";194;0;85.925;0;26.02;0;748.282
"2024-07-11 04:00:00";207;0;87;0;25.621;0;748.545
"2024-07-11 05:00:00";207;0;87;0.277;25.576;0;748.689
"2024-07-11 06:00:00";207;0;87;53.759;25.698;0;749.024
"2024-07-11 07:00:00";207;0;85.018;212.462;26.871;0;749.355
"2024-07-11 08:00:00";207;0;80.944;348.037;28.775;0;749.734
"2024-07-11 09:00:00";268;0;76.925;600.814;30.776;0;750.043
"2024-07-11 10:00:00";268;0;69.111;723.388;32.689;0;749.658
"2024-07-11 11:00:00";295.677;0;63.796;864.426;34.338;0;749.453
"2024-07-11 12:00:00";36.399;0;64.166;889.481;34.892;0;749.117
"2024-07-11 13:00:00";92.535;0;60.981;864.722;35.334;0;748.861
"2024-07-11 14:00:00";41.922;0;58.24;730.444;36.082;0;748.58
"2024-07-11 15:00:00";39.422;0;61.518;515.351;35.829;0;748.317
"2024-07-11 16:00:00";58.421;0;67.648;268.963;34.294;0;748.287
"2024-07-11 17:00:00";3.442;0;78.925;86.092;31.949;0;748.483
"2024-07-11 18:00:00";347.467;0;83.24;6.648;30.371;0;748.893
"2024-07-11 19:00:00";7.033;0;85;0;29.314;0;749.644
"2024-07-11 20:00:00";11;0;86;0;28.845;0;750.082
"2024-07-11 21:00:00";11;0;86;0;28.768;0;750.562
"2024-07-11 22:00:00";11;0;86.111;0;28.234;0;751.068
"2024-07-11 23:00:00";9;0;87;0;27.773;0;751.258
"2024-07-12 00:00:00";9;0;87;0;27.79;0;751.033
"2024-07-12 01:00:00";255;0;87;0;27.472;0;750.641
"2024-07-12 02:00:00";257;0;86.777;0;26.698;0;750.578
"2024-07-12 03:00:00";257;0;86.888;0;26.251;0;750.419
"2024-07-12 04:00:00";257;0;87;0;25.473;0;750.209
"2024-07-12 05:00:00";257;0;87;1.351;25.233;0;750.684
"2024-07-12 06:00:00";263;0;86.814;57.962;25.305;0;751.115
"2024-07-12 07:00:00";265;0;86.444;222.462;27.07;0;751.617
"2024-07-12 08:00:00";334.528;0;81.888;383.389;29.278;0;752.061
"2024-07-12 09:00:00";4.935;0;79.499;445.573;29.893;0;752.163
"2024-07-12 10:00:00";341.087;0;77.963;519.037;30.741;0;752.113
"2024-07-12 11:00:00";350.648;0;73.648;864.944;32.609;0;751.672
"2024-07-12 12:00:00";2.559;0;67.407;932.055;34.2;0;751.141
"2024-07-12 13:00:00";21.727;0;64.685;914.536;35.124;0;750.476
"2024-07-12 14:00:00";83.471;0;63.555;582.499;35.086;0;749.841
"2024-07-12 15:00:00";238.863;0;71.981;127.629;32.067;1.2;749.798
"2024-07-12 16:00:00";309;0;84.814;88.499;27.255;0;749.479
"2024-07-12 17:00:00";355;0;85;87.851;27.632;0;749.868
"2024-07-12 18:00:00";186;0;85.851;10.185;27.462;0;750.191
"2024-07-12 19:00:00";258;0;85.296;0;27.002;0;750.382
"2024-07-12 20:00:00";252.953;0;72.055;0;28.717;0;750.72
"2024-07-12 21:00:00";222.149;0;73.24;0;28.93;0;751.282
"2024-07-12 22:00:00";230.188;0;73.407;0;28.83;0;751.415
"2024-07-12 23:00:00";226.99;0;71.037;0;28.791;0;751.368
"2024-07-13 00:00:00";261;0;75.925;0;28.4;0;751.375
"2024-07-13 01:00:00";148;0;83.666;0;27.247;0.2;750.676
"2024-07-13 02:00:00";355;0;85.925;0;26.189;0;750.205
"2024-07-13 03:00:00";165;0;86.611;0;25.698;0;750.465
"2024-07-13 04:00:00";165;0;87;0;25.778;0;750.301
"2024-07-13 05:00:00";284;0;87;0.185;25.703;0;750.324
"2024-07-13 06:00:00";284;0;87;58.24;25.319;0;750.928
"2024-07-13 07:00:00";9;0;84.907;209.148;26.813;0;751.594
"2024-07-13 08:00:00";13.656;0;81.166;310.87;28.435;0;752.144
"2024-07-13 09:00:00";29.389;0;80.629;413.555;29.526;0;752.213
"2024-07-13 10:00:00";65.414;0;77.444;772.203;30.985;0;752.103
"2024-07-13 11:00:00";81.79;0;72.722;854.722;32.465;0;751.746
"2024-07-13 12:00:00";101.422;0;66.74;897.407;33.717;0;750.961
"2024-07-13 13:00:00";76.353;0;63.537;864.796;34.609;0;750.238
"2024-07-13 14:00:00";90;0;62.092;769.24;35.157;0;749.498
"2024-07-13 15:00:00";82.383;0;59.759;578.37;35.559;0;749.2
"2024-07-13 16:00:00";88;0;59.833;399.036;35.578;0;749.288
"2024-07-13 17:00:00";88;0;61.518;171.129;35.48;0;749.503
"2024-07-13 18:00:00";88;0;70.296;14.129;33.602;0;749.676
"2024-07-13 19:00:00";87.979;0;78.055;0;31.325;0;750.173
"2024-07-13 20:00:00";290;0;73.351;0;30.069;0;750.42
"2024-07-13 21:00:00";290;0;78.981;0;29.232;0;750.611
"2024-07-13 22:00:00";95;0;81.111;0;27.965;0;751.114
"2024-07-13 23:00:00";94;0;83.555;0;27.813;0;751.08
"2024-07-14 00:00:00";44;0;85;0;27.236;0;750.929
"2024-07-14 01:00:00";267;0;85.444;0;26.962;0;750.258
"2024-07-14 02:00:00";267;0;86.055;0;26.352;0;749.925
"2024-07-14 03:00:00";329;0;86.666;0;26.033;0;750.02
"2024-07-14 04:00:00";338.121;0;87;0;26.16;0.6;750.469
"2024-07-14 05:00:00";12;0;87;0;25.772;1.6;751.236
"2024-07-14 06:00:00";12;0;86.666;7.259;25.318;2.6;751.725
"2024-07-14 07:00:00";327;0;86;71.462;24.976;0.6;751.504
"2024-07-14 08:00:00";327;0;86;223.462;25.647;0;751.36
"2024-07-14 09:00:00";244;0;86.462;361.166;26.719;0;751.262
"2024-07-14 10:00:00";244;0;80.037;706.129;29.443;0;750.708
"2024-07-14 11:00:00";243;0;70.685;896.852;32.271;0;750.212
"2024-07-14 12:00:00";147.867;0;69.888;930.888;33.024;0;749.804
"2024-07-14 13:00:00";117.102;0;62.981;872.925;34.497;0;749.22
"2024-07-14 14:00:00";233.826;0;59.222;699.87;35.926;0;748.873
"2024-07-14 15:00:00";160;0;59.351;534.851;36.011;0;748.582
"2024-07-14 16:00:00";160;0;65.629;284.37;34.887;0;748.358
"2024-07-14 17:00:00";257.623;0;70.74;89.907;33.173;0;748.665
"2024-07-14 18:00:00";215;0;75.314;14.259;31.484;0;749.035
"2024-07-14 19:00:00";232;0;70.222;0;30.686;0;749.09
"2024-07-14 20:00:00";232.649;0;68.407;0;30.295;0;749.161
"2024-07-14 21:00:00";246;0;67.87;0;30.031;0;749.276
"2024-07-14 22:00:00";194.08;0;78.962;0;28.714;0;749.5
"2024-07-14 23:00:00";195.619;0;79.111;0;28.122;0;749.692
